county_name,score
Alameda,"Not Available"
Humboldt,83
"San Mateo","Not Available"
Placer,"Not Available"
Napa,"Not Available"
Napa,"Not Available"
Amador,"Not Available"
Sacramento,"Not Available"
Riverside,"Not Available"
"San Diego","Not Available"
"San Diego","Not Available"
"San Diego","Not Available"
Humboldt,"Not Available"
Butte,"Not Available"
Kern,"Not Available"
"Santa Clara",84
Butte,"Not Available"
"Los Angeles","Not Available"
Tehama,75
Alameda,91
Imperial,"Not Available"
Placer,36
Riverside,"Not Available"
"San Francisco","Not Available"
"Los Angeles","Not Available"
Tulare,78
"Los Angeles","Not Available"
Fresno,"Not Available"
"Los Angeles","Not Available"
Stanislaus,"Not Available"
Orange,"Not Available"
"San Mateo","Not Available"
"Santa Clara","Not Available"
"Contra Costa","Not Available"
Solano,"Not Available"
Alameda,"Not Available"
"San Francisco","Not Available"
"San Diego",91
"Los Angeles","Not Available"
Ventura,"Not Available"
"San Joaquin",88
"San Bernardino","Not Available"
Sonoma,"Not Available"
"Los Angeles","Not Available"
Fresno,"Not Available"
"Los Angeles","Not Available"
"San Bernardino","Not Available"
"San Diego","Not Available"
Solano,"Not Available"
Riverside,"Not Available"
"Los Angeles","Not Available"
"Los Angeles","Not Available"
"Santa Barbara",95
Sacramento,"Not Available"
"Santa Barbara","Not Available"
"Los Angeles","Not Available"
"San Mateo","Not Available"
"San Diego",86
"Los Angeles","Not Available"
"San Joaquin","Not Available"
Kings,38
"San Joaquin","Not Available"
"Los Angeles","Not Available"
"Santa Clara","Not Available"
"Los Angeles","Not Available"
Yolo,85
"San Diego","Not Available"
"San Bernardino",65
Marin,"Not Available"
"Los Angeles","Not Available"
Yuba,79
"Los Angeles","Not Available"
Sonoma,"Not Available"
"Los Angeles","Not Available"
"Los Angeles","Not Available"
"Los Angeles","Not Available"
"San Bernardino","Not Available"
Monterey,"Not Available"
"Los Angeles","Not Available"
Nevada,83
"San Francisco","Not Available"
"Los Angeles","Not Available"
Ventura,"Not Available"
Solano,"Not Available"
"San Joaquin","Not Available"
Orange,88
"Los Angeles","Not Available"
Sonoma,"Not Available"
Stanislaus,43
"Contra Costa","Not Available"
"Los Angeles","Not Available"
Fresno,"Not Available"
"Santa Cruz","Not Available"
Alameda,"Not Available"
"San Mateo","Not Available"
"Los Angeles","Not Available"
"San Diego","Not Available"
Alameda,"Not Available"
"San Diego","Not Available"
Orange,"Not Available"
Orange,"Not Available"
"San Francisco","Not Available"
"San Diego","Not Available"
Orange,"Not Available"
"Los Angeles","Not Available"
"San Luis Obispo","Not Available"
"San Diego","Not Available"
"Los Angeles","Not Available"
Ventura,"Not Available"
"Los Angeles","Not Available"
"Los Angeles","Not Available"
"Santa Cruz","Not Available"
Riverside,"Not Available"
"San Bernardino","Not Available"
Monterey,"Not Available"
"El Dorado","Not Available"
Kern,"Not Available"
Tulare,"Not Available"
"Los Angeles","Not Available"
"San Bernardino","Not Available"
"Contra Costa","Not Available"
"Los Angeles","Not Available"
"San Bernardino","Not Available"
Shasta,"Not Available"
"Los Angeles","Not Available"
Alameda,62
"San Mateo","Not Available"
"Los Angeles","Not Available"
Sonoma,79
Riverside,93
Kern,82
"San Bernardino","Not Available"
"San Bernardino",87
Mendocino,"Not Available"
Alameda,"Not Available"
"Santa Clara","Not Available"
Placer,"Not Available"
"San Joaquin",88
Kern,"Not Available"
Alameda,"Not Available"
"San Diego","Not Available"
"San Bernardino","Not Available"
Riverside,73
Monterey,"Not Available"
Tuolumne,"Not Available"
"San Joaquin","Not Available"
Imperial,"Not Available"
Orange,"Not Available"
"Los Angeles","Not Available"
"Los Angeles","Not Available"
"El Dorado","Not Available"
"Los Angeles","Not Available"
"Santa Barbara","Not Available"
Marin,"Not Available"
Solano,90
"Los Angeles","Not Available"
"Los Angeles","Not Available"
"Los Angeles","Not Available"
"Santa Clara","Not Available"
"Los Angeles","Not Available"
Riverside,"Not Available"
"Los Angeles","Not Available"
Ventura,"Not Available"
"Santa Barbara","Not Available"
"San Bernardino","Not Available"
"San Francisco","Not Available"
"Los Angeles","Not Available"
Sacramento,100
"Del Norte","Not Available"
"San Bernardino","Not Available"
Riverside,"Not Available"
"San Diego","Not Available"
Sacramento,"Not Available"
Orange,"Not Available"
"Los Angeles","Not Available"
"Santa Clara","Not Available"
Merced,84
"San Francisco","Not Available"
Kern,"Not Available"
"San Francisco","Not Available"
Stanislaus,"Not Available"
"Los Angeles","Not Available"
"Los Angeles","Not Available"
"Los Angeles","Not Available"
"Los Angeles","Not Available"
Alameda,"Not Available"
Fresno,"Not Available"
"Contra Costa",83
Placer,"Not Available"
"San Diego",92
"San Luis Obispo","Not Available"
Marin,"Not Available"
Alameda,"Not Available"
"San Diego","Not Available"
Sacramento,"Not Available"
"San Bernardino","Not Available"
"Contra Costa","Not Available"
Orange,"Not Available"
Merced,"Not Available"
Riverside,68
Yolo,"Not Available"
"San Mateo","Not Available"
Orange,"Not Available"
Tulare,"Not Available"
Ventura,"Not Available"
Orange,"Not Available"
Stanislaus,"Not Available"
"Los Angeles","Not Available"
Orange,82
Madera,"Not Available"
Orange,"Not Available"
Riverside,"Not Available"
Orange,"Not Available"
"Los Angeles","Not Available"
"San Bernardino","Not Available"
"Los Angeles","Not Available"
Orange,"Not Available"
Sacramento,95
"Los Angeles","Not Available"
Sacramento,"Not Available"
Orange,"Not Available"
"Santa Clara","Not Available"
Kern,"Not Available"
Orange,"Not Available"
"Los Angeles","Not Available"
"Los Angeles","Not Available"
"San Luis Obispo","Not Available"
"San Diego",67
"Los Angeles","Not Available"
"Los Angeles","Not Available"
"San Francisco","Not Available"
Sacramento,"Not Available"
"Los Angeles","Not Available"
Orange,"Not Available"
Riverside,"Not Available"
Riverside,"Not Available"
"Contra Costa",92
Sonoma,"Not Available"
"Los Angeles","Not Available"
Shasta,"Not Available"
Riverside,91
"Los Angeles","Not Available"
Fresno,"Not Available"
"San Bernardino","Not Available"
Fresno,"Not Available"
"Santa Cruz","Not Available"
"Los Angeles","Not Available"
"Los Angeles","Not Available"
Kern,"Not Available"
Stanislaus,"Not Available"
"Los Angeles","Not Available"
"Los Angeles","Not Available"
"Los Angeles","Not Available"
"Los Angeles","Not Available"
"Los Angeles","Not Available"
"Los Angeles","Not Available"
"Los Angeles","Not Available"
Orange,"Not Available"
Orange,"Not Available"
Orange,"Not Available"
Orange,"Not Available"
Stanislaus,"Not Available"
"Los Angeles","Not Available"
"San Diego","Not Available"
"San Bernardino","Not Available"
"Contra Costa","Not Available"
"Los Angeles","Not Available"
"Los Angeles","Not Available"
Shasta,"Not Available"
Riverside,"Not Available"
Sutter,"Not Available"
Solano,"Not Available"
Orange,"Not Available"
Riverside,"Not Available"
"Los Angeles","Not Available"
Placer,"Not Available"
Riverside,"Not Available"
"Los Angeles","Not Available"
Alameda,"Not Available"
"San Bernardino","Not Available"
