facility_id,score
010001,"Not Available"
010005,"Not Available"
010006,"Not Available"
010007,"Not Available"
010008,"Not Available"
010011,"Not Available"
010012,"Not Available"
010016,"Not Available"
010018,"Not Available"
010019,"Not Available"
010021,"Not Available"
010022,"Not Available"
010023,"Not Available"
010024,"Not Available"
010029,"Not Available"
010033,"Not Available"
010034,"Not Available"
010035,"Not Available"
010036,"Not Available"
010038,"Not Available"
010039,"Not Available"
010040,"Not Available"
010044,"Not Available"
010045,"Not Available"
010046,"Not Available"
010049,"Not Available"
010051,"Not Available"
010052,"Not Available"
010055,"Not Available"
010056,"Not Available"
010058,"Not Available"
010059,"Not Available"
010061,"Not Available"
010062,"Not Available"
010065,"Not Available"
010069,11
010073,"Not Available"
010078,73
010079,"Not Available"
010083,"Not Available"
010085,82
010086,"Not Available"
010087,"Not Available"
010089,"Not Available"
010090,"Not Available"
010091,"Not Available"
010092,"Not Available"
010095,"Not Available"
010097,"Not Available"
010099,"Not Available"
010100,"Not Available"
010101,"Not Available"
010102,"Not Available"
010103,"Not Available"
010104,"Not Available"
010108,"Not Available"
010110,"Not Available"
010112,"Not Available"
010113,"Not Available"
010114,"Not Available"
010118,"Not Available"
010120,"Not Available"
010125,"Not Available"
010126,"Not Available"
010128,"Not Available"
010129,"Not Available"
010130,"Not Available"
010131,"Not Available"
010138,"Not Available"
010139,"Not Available"
010144,7
010148,"Not Available"
010149,"Not Available"
010150,"Not Available"
010157,"Not Available"
010158,"Not Available"
010164,"Not Available"
010168,"Not Available"
010169,"Not Available"
010173,"Not Available"
010174,"Not Available"
010175,"Not Available"
011300,"Not Available"
011302,"Not Available"
011304,"Not Available"
011305,"Not Available"
011306,"Not Available"
013300,"Not Available"
013301,"Not Available"
020001,"Not Available"
020006,"Not Available"
020008,"Not Available"
020012,"Not Available"
020017,"Not Available"
020018,"Not Available"
020024,"Not Available"
020026,"Not Available"
02013F,"Not Available"
02014F,"Not Available"
021301,"Not Available"
021302,"Not Available"
021304,"Not Available"
021305,"Not Available"
021306,"Not Available"
021307,"Not Available"
021308,"Not Available"
021309,"Not Available"
021310,"Not Available"
021311,"Not Available"
021312,"Not Available"
021313,"Not Available"
021314,"Not Available"
030002,"Not Available"
030006,"Not Available"
030007,54
030010,"Not Available"
030011,"Not Available"
030012,54
030013,88
030014,"Not Available"
030016,"Not Available"
030022,"Not Available"
030023,"Not Available"
030024,"Not Available"
030030,"Not Available"
030036,78
030037,"Not Available"
030038,"Not Available"
030043,91
030055,"Not Available"
030061,88
030062,"Not Available"
030064,"Not Available"
030065,"Not Available"
030068,"Not Available"
030069,"Not Available"
030071,"Not Available"
030073,"Not Available"
030074,"Not Available"
030077,"Not Available"
030078,"Not Available"
030083,100
030084,"Not Available"
030085,"Not Available"
030087,78
030088,80
030089,93
030092,82
030093,79
030094,86
030101,"Not Available"
030103,"Not Available"
030105,"Not Available"
030107,"Not Available"
030108,"Not Available"
030110,"Not Available"
030111,"Not Available"
030112,"Not Available"
030113,"Not Available"
030114,"Not Available"
030115,67
030117,"Not Available"
030119,94
030121,"Not Available"
030122,"Not Available"
030123,"Not Available"
030130,"Not Available"
030131,"Not Available"
030134,"Not Available"
030136,"Not Available"
030137,"Not Available"
030138,"Not Available"
030139,75
030146,"Not Available"
030147,"Not Available"
030148,"Not Available"
031300,"Not Available"
031301,"Not Available"
031302,"Not Available"
031304,"Not Available"
031305,"Not Available"
031307,"Not Available"
031308,"Not Available"
031309,"Not Available"
031311,"Not Available"
031312,"Not Available"
031313,"Not Available"
031314,"Not Available"
031315,"Not Available"
031317,"Not Available"
031318,"Not Available"
033302,"Not Available"
040001,73
040002,"Not Available"
040004,"Not Available"
040007,"Not Available"
040010,77
040011,"Not Available"
040014,92
040015,"Not Available"
040016,"Not Available"
040017,"Not Available"
040018,"Not Available"
040019,"Not Available"
040020,75
040022,88
040026,67
040027,92
040029,"Not Available"
040036,"Not Available"
040039,"Not Available"
040041,77
040047,"Not Available"
040050,"Not Available"
040051,"Not Available"
040055,"Not Available"
040062,80
040067,"Not Available"
040069,"Not Available"
040071,93
040072,"Not Available"
040074,"Not Available"
040076,"Not Available"
040078,"Not Available"
040084,"Not Available"
040085,"Not Available"
040088,"Not Available"
040114,"Not Available"
040118,"Not Available"
040119,67
040132,"Not Available"
040134,"Not Available"
040137,"Not Available"
040147,"Not Available"
040152,"Not Available"
040153,"Not Available"
040154,"Not Available"
040156,27
040161,"Not Available"
041300,"Not Available"
041302,"Not Available"
041303,"Not Available"
041304,"Not Available"
041305,"Not Available"
041306,"Not Available"
041307,"Not Available"
041308,"Not Available"
041309,"Not Available"
041310,"Not Available"
041311,"Not Available"
041312,"Not Available"
041313,"Not Available"
041314,"Not Available"
041316,"Not Available"
041317,"Not Available"
041318,"Not Available"
041320,"Not Available"
041321,"Not Available"
041322,"Not Available"
041323,"Not Available"
041324,"Not Available"
041326,"Not Available"
041327,"Not Available"
041328,"Not Available"
041329,"Not Available"
041330,"Not Available"
041331,"Not Available"
043300,"Not Available"
043301,"Not Available"
050002,"Not Available"
050006,83
050007,"Not Available"
050008,"Not Available"
050009,"Not Available"
050013,"Not Available"
050014,"Not Available"
050017,"Not Available"
050022,"Not Available"
050024,"Not Available"
050025,"Not Available"
050026,"Not Available"
050028,"Not Available"
050030,"Not Available"
050036,"Not Available"
050038,84
050039,"Not Available"
050040,"Not Available"
050042,75
050043,91
050045,"Not Available"
050047,36
050054,"Not Available"
050055,"Not Available"
050056,"Not Available"
050057,78
050058,"Not Available"
050060,"Not Available"
050063,"Not Available"
050067,"Not Available"
050069,"Not Available"
050070,"Not Available"
050071,"Not Available"
050072,"Not Available"
050073,"Not Available"
050075,"Not Available"
050076,"Not Available"
050077,91
050078,"Not Available"
050082,"Not Available"
050084,88
050089,"Not Available"
050090,"Not Available"
050091,"Not Available"
050093,"Not Available"
050096,"Not Available"
050099,"Not Available"
050100,"Not Available"
050101,"Not Available"
050102,"Not Available"
050103,"Not Available"
050104,"Not Available"
050107,95
050108,"Not Available"
050110,"Not Available"
050112,"Not Available"
050113,"Not Available"
050115,86
050116,"Not Available"
050118,"Not Available"
050121,38
050122,"Not Available"
050124,"Not Available"
050125,"Not Available"
050126,"Not Available"
050127,85
050128,"Not Available"
050129,65
050131,"Not Available"
050132,"Not Available"
050133,79
050135,"Not Available"
050136,"Not Available"
050137,"Not Available"
050138,"Not Available"
050139,"Not Available"
050140,"Not Available"
050145,"Not Available"
050149,"Not Available"
050150,83
050152,"Not Available"
050158,"Not Available"
050159,"Not Available"
05015F,"Not Available"
050167,"Not Available"
050168,88
050169,"Not Available"
050174,"Not Available"
050179,43
050180,"Not Available"
050191,"Not Available"
050192,"Not Available"
050194,"Not Available"
050195,"Not Available"
050197,"Not Available"
050204,"Not Available"
05020F,"Not Available"
050211,"Not Available"
050222,"Not Available"
050224,"Not Available"
050226,"Not Available"
050228,"Not Available"
05022F,"Not Available"
050230,"Not Available"
050231,"Not Available"
050232,"Not Available"
050234,"Not Available"
050235,"Not Available"
050236,"Not Available"
050238,"Not Available"
050239,"Not Available"
050242,"Not Available"
050243,"Not Available"
050245,"Not Available"
050248,"Not Available"
050254,"Not Available"
050257,"Not Available"
050261,"Not Available"
050262,"Not Available"
050272,"Not Available"
050276,"Not Available"
050278,"Not Available"
050279,"Not Available"
050280,"Not Available"
050281,"Not Available"
050283,62
050289,"Not Available"
050290,"Not Available"
050291,79
050292,93
050295,82
050298,"Not Available"
050300,87
050301,"Not Available"
050305,"Not Available"
050308,"Not Available"
050309,"Not Available"
050313,88
050315,"Not Available"
050320,"Not Available"
050324,"Not Available"
050327,"Not Available"
050329,73
050334,"Not Available"
050335,"Not Available"
050336,"Not Available"
050342,"Not Available"
050348,"Not Available"
050350,"Not Available"
050351,"Not Available"
050352,"Not Available"
050353,"Not Available"
050357,"Not Available"
050360,"Not Available"
050367,90
050373,"Not Available"
050376,"Not Available"
050378,"Not Available"
050380,"Not Available"
050382,"Not Available"
050390,"Not Available"
050393,"Not Available"
050394,"Not Available"
050396,"Not Available"
05039F,"Not Available"
050407,"Not Available"
050411,"Not Available"
050414,100
050417,"Not Available"
05041F,"Not Available"
050423,"Not Available"
050424,"Not Available"
050425,"Not Available"
050426,"Not Available"
050438,"Not Available"
050441,"Not Available"
050444,84
050454,"Not Available"
050455,"Not Available"
050457,"Not Available"
050464,"Not Available"
050468,"Not Available"
050471,"Not Available"
050481,"Not Available"
050485,"Not Available"
050488,"Not Available"
050492,"Not Available"
050496,83
050498,"Not Available"
050503,92
050506,"Not Available"
050510,"Not Available"
050512,"Not Available"
050515,"Not Available"
050516,"Not Available"
050517,"Not Available"
050523,"Not Available"
050526,"Not Available"
050528,"Not Available"
050534,68
050537,"Not Available"
050541,"Not Available"
050543,"Not Available"
050546,"Not Available"
050549,"Not Available"
050551,"Not Available"
050557,"Not Available"
050561,"Not Available"
050567,82
050568,"Not Available"
050570,"Not Available"
050573,"Not Available"
050580,"Not Available"
050581,"Not Available"
050586,"Not Available"
050588,"Not Available"
050589,"Not Available"
050590,95
050597,"Not Available"
050599,"Not Available"
050603,"Not Available"
050604,"Not Available"
050608,"Not Available"
050609,"Not Available"
050624,"Not Available"
050625,"Not Available"
050633,"Not Available"
050636,67
050641,"Not Available"
050663,"Not Available"
050668,"Not Available"
050674,"Not Available"
050677,"Not Available"
050678,"Not Available"
050684,"Not Available"
050686,"Not Available"
050689,92
050690,"Not Available"
050696,"Not Available"
050697,"Not Available"
050701,91
050704,"Not Available"
050708,"Not Available"
050709,"Not Available"
050710,"Not Available"
050714,"Not Available"
050717,"Not Available"
050723,"Not Available"
050724,"Not Available"
050726,"Not Available"
050735,"Not Available"
050736,"Not Available"
050737,"Not Available"
050738,"Not Available"
050739,"Not Available"
050740,"Not Available"
050742,"Not Available"
050744,"Not Available"
050745,"Not Available"
050746,"Not Available"
050747,"Not Available"
050748,"Not Available"
050755,"Not Available"
050757,"Not Available"
050758,"Not Available"
050760,"Not Available"
050761,"Not Available"
050763,"Not Available"
050764,"Not Available"
050765,"Not Available"
050766,"Not Available"
050767,"Not Available"
050769,"Not Available"
050770,"Not Available"
050771,"Not Available"
050772,"Not Available"
050775,"Not Available"
050776,"Not Available"
050777,"Not Available"
050778,"Not Available"
050779,"Not Available"
050780,"Not Available"
050782,"Not Available"
050783,"Not Available"
050784,"Not Available"
050785,"Not Available"
051300,"Not Available"
051301,"Not Available"
051302,"Not Available"
051303,"Not Available"
051304,"Not Available"
051305,"Not Available"
051306,"Not Available"
051307,"Not Available"
051308,"Not Available"
051309,"Not Available"
051310,"Not Available"
051311,"Not Available"
051312,"Not Available"
051314,"Not Available"
051315,"Not Available"
051316,"Not Available"
051317,"Not Available"
051318,"Not Available"
051319,"Not Available"
051320,"Not Available"
051321,"Not Available"
051323,"Not Available"
051324,"Not Available"
051325,"Not Available"
051326,"Not Available"
051327,"Not Available"
051328,"Not Available"
051329,93
051330,"Not Available"
051331,"Not Available"
051332,"Not Available"
051333,"Not Available"
051334,"Not Available"
051335,"Not Available"
051336,"Not Available"
051337,"Not Available"
053300,"Not Available"
