facility_id,score
010001,60
010005,60
010006,32
010007,100
010008,"Not Available"
010011,30
010012,80
010016,63
010018,"Not Available"
010019,78
010021,13
010022,"Not Available"
010023,11
010024,73
010029,65
010033,57
010034,"Not Available"
010035,98
010036,"Not Available"
010038,75
010039,54
010040,36
010044,"Not Available"
010045,59
010046,85
010049,42
010051,"Not Available"
010052,"Not Available"
010055,47
010056,52
010058,"Not Available"
010059,"Not Available"
010061,53
010062,"Not Available"
010065,80
010069,"Not Available"
010073,19
010078,34
010079,64
010083,56
010085,30
010086,"Not Available"
010087,60
010089,73
010090,88
010091,"Not Available"
010092,46
010095,"Not Available"
010097,"Not Available"
010099,42
010100,83
010101,65
010102,"Not Available"
010103,49
010104,46
010108,48
010110,"Not Available"
010112,"Not Available"
010113,78
010114,44
010118,61
010120,82
010125,"Not Available"
010126,65
010128,"Not Available"
010129,67
010130,64
010131,59
010138,"Not Available"
010139,50
010144,29
010148,"Not Available"
010149,29
010150,"Not Available"
010157,"Not Available"
010158,"Not Available"
010164,24
010168,"Not Available"
010169,23
010173,22
010174,"Not Available"
010175,"Not Available"
011300,"Not Available"
011302,"Not Available"
011304,"Not Available"
011305,76
011306,"Not Available"
013300,"Not Available"
013301,"Not Available"
020001,53
020006,57
020008,56
020012,17
020017,76
020018,21
020024,71
020026,76
02013F,"Not Available"
02014F,"Not Available"
021301,"Not Available"
021302,"Not Available"
021304,"Not Available"
021305,"Not Available"
021306,"Not Available"
021307,"Not Available"
021308,"Not Available"
021309,"Not Available"
021310,"Not Available"
021311,52
021312,"Not Available"
021313,"Not Available"
021314,18
030002,44
030006,45
030007,52
030010,54
030011,55
030012,31
030013,19
030014,61
030016,67
030022,93
030023,47
030024,66
030030,55
030036,56
030037,27
030038,66
030043,94
030055,59
030061,50
030062,64
030064,45
030065,15
030068,"Not Available"
030069,71
030071,30
030073,12
030074,"Not Available"
030077,"Not Available"
030078,48
030083,44
030084,12
030085,38
030087,61
030088,53
030089,30
030092,52
030093,60
030094,45
030101,67
030103,48
030105,"Not Available"
030107,"Not Available"
030108,"Not Available"
030110,48
030111,47
030112,"Not Available"
030113,"Not Available"
030114,57
030115,63
030117,37
030119,56
030121,57
030122,50
030123,66
030130,47
030131,"Not Available"
030134,58
030136,"Not Available"
030137,"Not Available"
030138,"Not Available"
030139,"Not Available"
030146,"Not Available"
030147,"Not Available"
030148,"Not Available"
031300,"Not Available"
031301,"Not Available"
031302,"Not Available"
031304,"Not Available"
031305,"Not Available"
031307,"Not Available"
031308,"Not Available"
031309,"Not Available"
031311,"Not Available"
031312,"Not Available"
031313,"Not Available"
031314,"Not Available"
031315,"Not Available"
031317,"Not Available"
031318,"Not Available"
033302,"Not Available"
040001,61
040002,58
040004,38
040007,71
040010,56
040011,41
040014,49
040015,"Not Available"
040016,40
040017,47
040018,"Not Available"
040019,64
040020,79
040022,58
040026,84
040027,41
040029,59
040036,69
040039,54
040041,44
040047,"Not Available"
040050,76
040051,40
040055,36
040062,57
040067,31
040069,8
040071,63
040072,50
040074,"Not Available"
040076,69
040078,77
040084,35
040085,100
040088,63
040114,78
040118,62
040119,65
040132,"Not Available"
040134,100
040137,39
040147,"Not Available"
040152,"Not Available"
040153,72
040154,65
040156,42
040161,"Not Available"
041300,"Not Available"
041302,"Not Available"
041303,"Not Available"
041304,"Not Available"
041305,"Not Available"
041306,"Not Available"
041307,"Not Available"
041308,"Not Available"
041309,"Not Available"
041310,"Not Available"
041311,"Not Available"
041312,55
041313,"Not Available"
041314,"Not Available"
041316,"Not Available"
041317,"Not Available"
041318,"Not Available"
041320,"Not Available"
041321,74
041322,"Not Available"
041323,"Not Available"
041324,"Not Available"
041326,"Not Available"
041327,"Not Available"
041328,"Not Available"
041329,"Not Available"
041330,"Not Available"
041331,"Not Available"
043300,"Not Available"
043301,"Not Available"
050002,"Not Available"
050006,49
050007,80
050008,42
050009,64
050013,"Not Available"
050014,94
050017,75
050022,90
050024,83
050025,52
050026,79
050028,74
050030,55
050036,56
050038,69
050039,72
050040,48
050042,87
050043,40
050045,44
050047,39
050054,70
050055,73
050056,68
050057,75
050058,86
050060,23
050063,93
050067,45
050069,82
050070,85
050071,71
050072,75
050073,74
050075,61
050076,60
050077,60
050078,81
050082,84
050084,72
050089,56
050090,70
050091,28
050093,38
050096,"Not Available"
050099,81
050100,55
050101,60
050102,40
050103,82
050104,75
050107,80
050108,63
050110,70
050112,68
050113,71
050115,91
050116,83
050118,49
050121,64
050122,53
050124,68
050125,57
050126,63
050127,100
050128,65
050129,88
050131,61
050132,74
050133,74
050135,31
050136,53
050137,63
050138,67
050139,72
050140,82
050145,44
050149,72
050150,65
050152,55
050158,86
050159,38
05015F,59
050167,63
050168,66
050169,50
050174,64
050179,82
050180,56
050191,66
050192,"Not Available"
050194,46
050195,72
050197,86
050204,62
05020F,"Not Available"
050211,45
050222,71
050224,70
050226,39
050228,29
05022F,67
050230,85
050231,61
050232,81
050234,74
050235,72
050236,84
050238,23
050239,76
050242,80
050243,45
050245,83
050248,50
050254,81
050257,"Not Available"
050261,82
050262,51
050272,74
050276,31
050278,62
050279,73
050280,76
050281,48
050283,59
050289,60
050290,86
050291,62
050292,47
050295,78
050298,85
050300,44
050301,52
050305,57
050308,80
050309,70
050313,81
050315,48
050320,28
050324,83
050327,26
050329,80
050334,69
050335,69
050336,80
050342,58
050348,46
050350,76
050351,75
050352,93
050353,76
050357,63
050360,44
050367,70
050373,50
050376,30
050378,0
050380,68
050382,65
050390,44
050393,68
050394,75
050396,54
05039F,"Not Available"
050407,63
050411,88
050414,81
050417,85
05041F,"Not Available"
050423,"Not Available"
050424,83
