facility_id,score
010001,168
010005,139
010006,182
010007,119
010008,126
010011,174
010012,170
010016,208
010018,146
010019,135
010021,112
010022,118
010023,185
010024,126
010029,200
010033,185
010034,99
010035,126
010036,125
010038,155
010039,174
010040,233
010044,98
010045,110
010046,120
010049,142
010051,"Not Available"
010052,115
010055,191
010056,155
010058,119
010059,75
010061,162
010062,120
010065,139
010069,122
010073,102
010078,240
010079,171
010083,180
010085,204
010086,139
010087,238
010089,155
010090,169
010091,137
010092,214
010095,102
010097,95
010099,136
010100,172
010101,117
010102,60
010103,169
010104,206
010108,180
010110,96
010112,103
010113,203
010114,119
010118,136
010120,120
010125,62
010126,110
010128,130
010129,188
010130,110
010131,214
010138,134
010139,125
010144,124
010148,121
010149,199
010150,149
010157,114
010158,104
010164,102
010168,114
010169,103
010173,141
010174,147
010175,122
011300,"Not Available"
011302,117
011304,"Not Available"
011305,104
011306,100
013300,"Not Available"
013301,"Not Available"
020001,188
020006,137
020008,176
020012,150
020017,120
020018,"Not Available"
020024,134
020026,123
02013F,102
02014F,148
021301,142
021302,137
021304,117
021305,149
021306,"Not Available"
021307,130
021308,"Not Available"
021309,"Not Available"
021310,"Not Available"
021311,144
021312,"Not Available"
021313,170
021314,"Not Available"
030002,239
030006,266
030007,182
030010,177
030011,226
030012,210
030013,256
030014,210
030016,221
030022,160
030023,221
030024,188
030030,168
030036,133
030037,162
030038,189
030043,178
030055,178
030061,215
030062,203
030064,271
030065,234
030068,102
030069,205
030071,"Not Available"
030073,85
030074,"Not Available"
030077,"Not Available"
030078,"Not Available"
030083,170
030084,"Not Available"
030085,156
030087,190
030088,251
030089,241
030092,212
030093,227
030094,126
030101,153
030103,199
030105,"Not Available"
030107,"Not Available"
030108,"Not Available"
030110,172
030111,224
030112,"Not Available"
030113,"Not Available"
030114,141
030115,220
030117,136
030119,168
030121,206
030122,216
030123,154
030130,210
030131,"Not Available"
030134,146
030136,97
030137,162
030138,"Not Available"
030139,87
030146,"Not Available"
030147,"Not Available"
030148,"Not Available"
031300,164
031301,"Not Available"
031302,"Not Available"
031304,86
031305,"Not Available"
031307,"Not Available"
031308,91
031309,"Not Available"
031311,159
031312,118
031313,145
031314,102
031315,265
031317,"Not Available"
031318,143
033302,"Not Available"
040001,117
040002,154
040004,183
040007,214
040010,140
040011,95
040014,123
040015,119
040016,206
040017,164
040018,61
040019,104
040020,195
040022,145
040026,168
040027,134
040029,128
040036,208
040039,144
040041,142
040047,114
040050,77
040051,134
040055,107
040062,198
040067,109
040069,129
040071,165
040072,98
040074,"Not Available"
040076,94
040078,179
040084,168
040085,106
040088,122
040114,174
040118,110
040119,131
040132,"Not Available"
040134,226
040137,176
040147,175
040152,72
040153,113
040154,119
040156,123
040161,"Not Available"
041300,86
041302,95
041303,132
041304,87
041305,76
041306,96
041307,114
041308,165
041309,111
041310,113
041311,102
041312,120
041313,121
041314,114
041316,117
041317,"Not Available"
041318,75
041320,129
041321,105
041322,132
041323,84
041324,106
041326,111
041327,"Not Available"
041328,106
041329,108
041330,139
041331,215
043300,"Not Available"
043301,"Not Available"
050002,189
050006,201
050007,170
050008,128
050009,140
050013,107
050014,118
050017,164
050022,201
050024,156
050025,275
050026,186
050028,96
050030,241
050036,165
050038,150
050039,173
050040,311
050042,125
050043,217
050045,224
050047,210
050054,152
050055,188
050056,187
050057,252
050058,148
050060,257
050063,176
050067,136
050069,206
050070,"Not Available"
050071,"Not Available"
050072,"Not Available"
050073,"Not Available"
050075,"Not Available"
050076,"Not Available"
050077,168
050078,150
050082,158
050084,192
050089,144
050090,104
050091,165
050093,322
050096,"Not Available"
050099,235
050100,182
050101,148
050102,100
050103,146
050104,257
050107,128
050108,183
050110,154
050112,128
050113,152
050115,284
050116,205
050118,150
050121,157
050122,153
050124,132
050125,153
050126,164
050127,141
050128,175
050129,180
050131,130
050132,164
050133,161
050135,186
050136,168
050137,"Not Available"
050138,"Not Available"
050139,"Not Available"
050140,"Not Available"
050145,168
050149,200
050150,140
050152,101
050158,92
050159,185
05015F,117
050167,210
050168,220
050169,195
050174,163
050179,136
050180,192
050191,130
050192,134
050194,181
050195,138
050197,120
050204,260
05020F,126
050211,132
050222,201
050224,200
050226,167
050228,261
05022F,157
050230,113
050231,188
050232,150
050234,128
050235,199
050236,156
050238,222
050239,184
050242,157
050243,176
